DataExtractDate,ReportPeriod,FlightType,Arrival_Departure,Domestic_International,FlightOpsCount
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Scheduled,Departure,Domestic,14138
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Scheduled,Departure,International,3984
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Charter,Arrival,Domestic,18
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Charter,Arrival,International,1
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Charter,Departure,Domestic,18
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Commuter,Arrival,Domestic,5980
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Commuter,Arrival,International,39
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Commuter,Departure,Domestic,5980
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Commuter,Departure,International,39
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Scheduled,Arrival,Domestic,14208
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Scheduled,Arrival,International,4030
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Scheduled,Departure,Domestic,14211
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Scheduled,Departure,International,4028
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Charter,Arrival,Domestic,16
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Charter,Arrival,International,2
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Charter,Departure,Domestic,14
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Commuter,Arrival,Domestic,6092
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Commuter,Arrival,International,39
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Commuter,Departure,Domestic,6092
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Commuter,Departure,International,39
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Scheduled,Arrival,Domestic,14866
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Scheduled,Arrival,International,4483
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Scheduled,Departure,Domestic,14883
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Scheduled,Departure,International,4506
05/01/2014 12:00:00 AM,08/01/2006 12:00:00 AM,Charter,Arrival,Domestic,15
05/01/2014 12:00:00 AM,08/01/2006 12:00:00 AM,Charter,Arrival,International,1
05/01/2014 12:00:00 AM,08/01/2006 12:00:00 AM,Charter,Departure,Domestic,16
05/01/2014 12:00:00 AM,08/01/2006 12:00:00 AM,Commuter,Arrival,Domestic,6134
05/01/2014 12:00:00 AM,08/01/2006 12:00:00 AM,Commuter,Arrival,International,40
05/01/2014 12:00:00 AM,08/01/2006 12:00:00 AM,Commuter,Departure,Domestic,6134
05/01/2014 12:00:00 AM,08/01/2006 12:00:00 AM,Commuter,Departure,International,40
05/01/2014 12:00:00 AM,08/01/2006 12:00:00 AM,Scheduled,Arrival,Domestic,15243
05/01/2014 12:00:00 AM,08/01/2006 12:00:00 AM,Scheduled,Arrival,International,4303
05/01/2014 12:00:00 AM,08/01/2006 12:00:00 AM,Scheduled,Departure,Domestic,15272
05/01/2014 12:00:00 AM,08/01/2006 12:00:00 AM,Scheduled,Departure,International,4328
05/01/2014 12:00:00 AM,09/01/2006 12:00:00 AM,Charter,Arrival,Domestic,24
05/01/2014 12:00:00 AM,09/01/2006 12:00:00 AM,Charter,Arrival,International,1
05/01/2014 12:00:00 AM,09/01/2006 12:00:00 AM,Charter,Departure,Domestic,18
05/01/2014 12:00:00 AM,09/01/2006 12:00:00 AM,Commuter,Arrival,Domestic,5903
05/01/2014 12:00:00 AM,09/01/2006 12:00:00 AM,Commuter,Arrival,International,37
05/01/2014 12:00:00 AM,09/01/2006 12:00:00 AM,Commuter,Departure,Domestic,5903
05/01/2014 12:00:00 AM,09/01/2006 12:00:00 AM,Commuter,Departure,International,37
05/01/2014 12:00:00 AM,09/01/2006 12:00:00 AM,Scheduled,Arrival,Domestic,13832
05/01/2014 12:00:00 AM,09/01/2006 12:00:00 AM,Scheduled,Arrival,International,3823
05/01/2014 12:00:00 AM,09/01/2006 12:00:00 AM,Scheduled,Departure,Domestic,13815
05/01/2014 12:00:00 AM,09/01/2006 12:00:00 AM,Scheduled,Departure,International,3865
05/01/2014 12:00:00 AM,10/01/2006 12:00:00 AM,Charter,Arrival,Domestic,48
05/01/2014 12:00:00 AM,10/01/2006 12:00:00 AM,Charter,Arrival,International,285
05/01/2014 12:00:00 AM,10/01/2006 12:00:00 AM,Charter,Departure,Domestic,50
05/01/2014 12:00:00 AM,10/01/2006 12:00:00 AM,Commuter,Arrival,Domestic,6135
05/01/2014 12:00:00 AM,10/01/2006 12:00:00 AM,Commuter,Arrival,International,40
05/01/2014 12:00:00 AM,10/01/2006 12:00:00 AM,Commuter,Departure,Domestic,6135
05/01/2014 12:00:00 AM,10/01/2006 12:00:00 AM,Commuter,Departure,International,40
05/01/2014 12:00:00 AM,10/01/2006 12:00:00 AM,Scheduled,Arrival,Domestic,14292
05/01/2014 12:00:00 AM,10/01/2006 12:00:00 AM,Scheduled,Arrival,International,3605
05/01/2014 12:00:00 AM,10/01/2006 12:00:00 AM,Scheduled,Departure,Domestic,14332
05/01/2014 12:00:00 AM,10/01/2006 12:00:00 AM,Scheduled,Departure,International,3898
05/01/2014 12:00:00 AM,11/01/2006 12:00:00 AM,Charter,Arrival,Domestic,48
05/01/2014 12:00:00 AM,11/01/2006 12:00:00 AM,Charter,Arrival,International,3
05/01/2014 12:00:00 AM,11/01/2006 12:00:00 AM,Charter,Departure,Domestic,50
05/01/2014 12:00:00 AM,11/01/2006 12:00:00 AM,Charter,Departure,International,2
05/01/2014 12:00:00 AM,11/01/2006 12:00:00 AM,Commuter,Arrival,Domestic,5772
05/01/2014 12:00:00 AM,11/01/2006 12:00:00 AM,Commuter,Arrival,International,39
05/01/2014 12:00:00 AM,11/01/2006 12:00:00 AM,Commuter,Departure,Domestic,5772
05/01/2014 12:00:00 AM,11/01/2006 12:00:00 AM,Commuter,Departure,International,39
05/01/2014 12:00:00 AM,11/01/2006 12:00:00 AM,Scheduled,Arrival,Domestic,13855
05/01/2014 12:00:00 AM,11/01/2006 12:00:00 AM,Scheduled,Arrival,International,3706
05/01/2014 12:00:00 AM,11/01/2006 12:00:00 AM,Scheduled,Departure,Domestic,13855
05/01/2014 12:00:00 AM,11/01/2006 12:00:00 AM,Scheduled,Departure,International,3718
05/01/2014 12:00:00 AM,12/01/2006 12:00:00 AM,Charter,Arrival,Domestic,46
05/01/2014 12:00:00 AM,12/01/2006 12:00:00 AM,Charter,Arrival,International,6
05/01/2014 12:00:00 AM,12/01/2006 12:00:00 AM,Charter,Departure,Domestic,44
05/01/2014 12:00:00 AM,12/01/2006 12:00:00 AM,Charter,Departure,International,3
05/01/2014 12:00:00 AM,12/01/2006 12:00:00 AM,Commuter,Arrival,Domestic,6144
05/01/2014 12:00:00 AM,12/01/2006 12:00:00 AM,Commuter,Arrival,International,40
05/01/2014 12:00:00 AM,12/01/2006 12:00:00 AM,Commuter,Departure,Domestic,6144
05/01/2014 12:00:00 AM,12/01/2006 12:00:00 AM,Commuter,Departure,International,40
05/01/2014 12:00:00 AM,12/01/2006 12:00:00 AM,Scheduled,Arrival,Domestic,14417
05/01/2014 12:00:00 AM,12/01/2006 12:00:00 AM,Scheduled,Arrival,International,4086
05/01/2014 12:00:00 AM,12/01/2006 12:00:00 AM,Scheduled,Departure,Domestic,14474
05/01/2014 12:00:00 AM,12/01/2006 12:00:00 AM,Scheduled,Departure,International,4103
05/01/2014 12:00:00 AM,01/01/2007 12:00:00 AM,Charter,Arrival,Domestic,38
05/01/2014 12:00:00 AM,01/01/2007 12:00:00 AM,Charter,Arrival,International,3
05/01/2014 12:00:00 AM,01/01/2007 12:00:00 AM,Charter,Departure,Domestic,42
05/01/2014 12:00:00 AM,01/01/2007 12:00:00 AM,Charter,Departure,International,3
05/01/2014 12:00:00 AM,01/01/2007 12:00:00 AM,Commuter,Arrival,Domestic,6081
05/01/2014 12:00:00 AM,01/01/2007 12:00:00 AM,Commuter,Arrival,International,94
05/01/2014 12:00:00 AM,01/01/2007 12:00:00 AM,Commuter,Departure,Domestic,6081
05/01/2014 12:00:00 AM,01/01/2007 12:00:00 AM,Commuter,Departure,International,94
05/01/2014 12:00:00 AM,01/01/2007 12:00:00 AM,Scheduled,Arrival,Domestic,14140
05/01/2014 12:00:00 AM,01/01/2007 12:00:00 AM,Scheduled,Arrival,International,4301
05/01/2014 12:00:00 AM,01/01/2007 12:00:00 AM,Scheduled,Departure,Domestic,14165
05/01/2014 12:00:00 AM,01/01/2007 12:00:00 AM,Scheduled,Departure,International,4308
05/01/2014 12:00:00 AM,02/01/2007 12:00:00 AM,Charter,Arrival,Domestic,14
05/01/2014 12:00:00 AM,02/01/2007 12:00:00 AM,Charter,Arrival,International,7
05/01/2014 12:00:00 AM,02/01/2007 12:00:00 AM,Charter,Departure,Domestic,16
05/01/2014 12:00:00 AM,02/01/2007 12:00:00 AM,Charter,Departure,International,5
05/01/2014 12:00:00 AM,02/01/2007 12:00:00 AM,Commuter,Arrival,Domestic,5470
05/01/2014 12:00:00 AM,02/01/2007 12:00:00 AM,Commuter,Arrival,International,83
05/01/2014 12:00:00 AM,02/01/2007 12:00:00 AM,Commuter,Departure,Domestic,5470
05/01/2014 12:00:00 AM,02/01/2007 12:00:00 AM,Commuter,Departure,International,83
05/01/2014 12:00:00 AM,02/01/2007 12:00:00 AM,Scheduled,Arrival,Domestic,12734
05/01/2014 12:00:00 AM,02/01/2007 12:00:00 AM,Scheduled,Arrival,International,3779
05/01/2014 12:00:00 AM,02/01/2007 12:00:00 AM,Scheduled,Departure,Domestic,12768
05/01/2014 12:00:00 AM,02/01/2007 12:00:00 AM,Scheduled,Departure,International,3783
05/01/2014 12:00:00 AM,03/01/2007 12:00:00 AM,Charter,Arrival,Domestic,33
05/01/2014 12:00:00 AM,03/01/2007 12:00:00 AM,Charter,Arrival,International,4
05/01/2014 12:00:00 AM,03/01/2007 12:00:00 AM,Charter,Departure,Domestic,33
05/01/2014 12:00:00 AM,03/01/2007 12:00:00 AM,Charter,Departure,International,4
05/01/2014 12:00:00 AM,03/01/2007 12:00:00 AM,Commuter,Arrival,Domestic,6105
05/01/2014 12:00:00 AM,03/01/2007 12:00:00 AM,Commuter,Arrival,International,93
05/01/2014 12:00:00 AM,03/01/2007 12:00:00 AM,Commuter,Departure,Domestic,6105
05/01/2014 12:00:00 AM,03/01/2007 12:00:00 AM,Commuter,Departure,International,93
05/01/2014 12:00:00 AM,03/01/2007 12:00:00 AM,Scheduled,Arrival,Domestic,14736
05/01/2014 12:00:00 AM,03/01/2007 12:00:00 AM,Scheduled,Arrival,International,4098
05/01/2014 12:00:00 AM,03/01/2007 12:00:00 AM,Scheduled,Departure,Domestic,14830
05/01/2014 12:00:00 AM,03/01/2007 12:00:00 AM,Scheduled,Departure,International,4100
05/01/2014 12:00:00 AM,04/01/2007 12:00:00 AM,Charter,Arrival,Domestic,26
05/01/2014 12:00:00 AM,04/01/2007 12:00:00 AM,Charter,Arrival,International,2
05/01/2014 12:00:00 AM,04/01/2007 12:00:00 AM,Charter,Departure,Domestic,24
05/01/2014 12:00:00 AM,04/01/2007 12:00:00 AM,Commuter,Arrival,Domestic,5711
05/01/2014 12:00:00 AM,04/01/2007 12:00:00 AM,Commuter,Arrival,International,89
05/01/2014 12:00:00 AM,04/01/2007 12:00:00 AM,Commuter,Departure,Domestic,5711
05/01/2014 12:00:00 AM,04/01/2007 12:00:00 AM,Commuter,Departure,International,89
05/01/2014 12:00:00 AM,04/01/2007 12:00:00 AM,Scheduled,Arrival,Domestic,14132
05/01/2014 12:00:00 AM,04/01/2007 12:00:00 AM,Scheduled,Arrival,International,4070
05/01/2014 12:00:00 AM,04/01/2007 12:00:00 AM,Scheduled,Departure,Domestic,14192
05/01/2014 12:00:00 AM,04/01/2007 12:00:00 AM,Scheduled,Departure,International,4085
05/01/2014 12:00:00 AM,05/01/2007 12:00:00 AM,Charter,Arrival,Domestic,12
05/01/2014 12:00:00 AM,05/01/2007 12:00:00 AM,Charter,Arrival,International,1
05/01/2014 12:00:00 AM,05/01/2007 12:00:00 AM,Charter,Departure,Domestic,13
05/01/2014 12:00:00 AM,05/01/2007 12:00:00 AM,Charter,Departure,International,2
05/01/2014 12:00:00 AM,05/01/2007 12:00:00 AM,Commuter,Arrival,Domestic,5752
05/01/2014 12:00:00 AM,05/01/2007 12:00:00 AM,Commuter,Arrival,International,93
05/01/2014 12:00:00 AM,05/01/2007 12:00:00 AM,Commuter,Departure,Domestic,5747
05/01/2014 12:00:00 AM,05/01/2007 12:00:00 AM,Commuter,Departure,International,93
05/01/2014 12:00:00 AM,05/01/2007 12:00:00 AM,Scheduled,Arrival,Domestic,14737
05/01/2014 12:00:00 AM,05/01/2007 12:00:00 AM,Scheduled,Arrival,International,4104
05/01/2014 12:00:00 AM,05/01/2007 12:00:00 AM,Scheduled,Departure,Domestic,14792
05/01/2014 12:00:00 AM,05/01/2007 12:00:00 AM,Scheduled,Departure,International,4117
05/01/2014 12:00:00 AM,06/01/2007 12:00:00 AM,Charter,Arrival,Domestic,12
05/01/2014 12:00:00 AM,06/01/2007 12:00:00 AM,Charter,Arrival,International,1
05/01/2014 12:00:00 AM,06/01/2007 12:00:00 AM,Charter,Departure,Domestic,9
05/01/2014 12:00:00 AM,06/01/2007 12:00:00 AM,Commuter,Arrival,Domestic,5673
05/01/2014 12:00:00 AM,06/01/2007 12:00:00 AM,Commuter,Arrival,International,90
05/01/2014 12:00:00 AM,06/01/2007 12:00:00 AM,Commuter,Departure,Domestic,5673
05/01/2014 12:00:00 AM,06/01/2007 12:00:00 AM,Commuter,Departure,International,90
05/01/2014 12:00:00 AM,06/01/2007 12:00:00 AM,Scheduled,Arrival,Domestic,14828
05/01/2014 12:00:00 AM,06/01/2007 12:00:00 AM,Scheduled,Arrival,International,4232
05/01/2014 12:00:00 AM,06/01/2007 12:00:00 AM,Scheduled,Departure,Domestic,14896
05/01/2014 12:00:00 AM,06/01/2007 12:00:00 AM,Scheduled,Departure,International,4268
05/01/2014 12:00:00 AM,07/01/2007 12:00:00 AM,Charter,Arrival,Domestic,21
05/01/2014 12:00:00 AM,07/01/2007 12:00:00 AM,Charter,Arrival,International,1
05/01/2014 12:00:00 AM,07/01/2007 12:00:00 AM,Charter,Departure,Domestic,18
05/01/2014 12:00:00 AM,07/01/2007 12:00:00 AM,Charter,Departure,International,1
05/01/2014 12:00:00 AM,07/01/2007 12:00:00 AM,Commuter,Arrival,Domestic,5898
05/01/2014 12:00:00 AM,07/01/2007 12:00:00 AM,Commuter,Arrival,International,93
05/01/2014 12:00:00 AM,07/01/2007 12:00:00 AM,Commuter,Departure,Domestic,5898
05/01/2014 12:00:00 AM,07/01/2007 12:00:00 AM,Commuter,Departure,International,93
05/01/2014 12:00:00 AM,07/01/2007 12:00:00 AM,Scheduled,Arrival,Domestic,16200
05/01/2014 12:00:00 AM,07/01/2007 12:00:00 AM,Scheduled,Arrival,International,4729
05/01/2014 12:00:00 AM,07/01/2007 12:00:00 AM,Scheduled,Departure,Domestic,16319
05/01/2014 12:00:00 AM,07/01/2007 12:00:00 AM,Scheduled,Departure,International,4769
05/01/2014 12:00:00 AM,08/01/2007 12:00:00 AM,Charter,Arrival,Domestic,7
05/01/2014 12:00:00 AM,08/01/2007 12:00:00 AM,Charter,Arrival,International,1
05/01/2014 12:00:00 AM,08/01/2007 12:00:00 AM,Charter,Departure,Domestic,8
05/01/2014 12:00:00 AM,08/01/2007 12:00:00 AM,Commuter,Arrival,Domestic,5931
05/01/2014 12:00:00 AM,08/01/2007 12:00:00 AM,Commuter,Arrival,International,93
05/01/2014 12:00:00 AM,08/01/2007 12:00:00 AM,Commuter,Departure,Domestic,5931
05/01/2014 12:00:00 AM,08/01/2007 12:00:00 AM,Commuter,Departure,International,93
05/01/2014 12:00:00 AM,08/01/2007 12:00:00 AM,Scheduled,Arrival,Domestic,16310
05/01/2014 12:00:00 AM,08/01/2007 12:00:00 AM,Scheduled,Arrival,International,4735
05/01/2014 12:00:00 AM,08/01/2007 12:00:00 AM,Scheduled,Departure,Domestic,16468
05/01/2014 12:00:00 AM,08/01/2007 12:00:00 AM,Scheduled,Departure,International,4726
05/01/2014 12:00:00 AM,09/01/2007 12:00:00 AM,Charter,Arrival,Domestic,24
05/01/2014 12:00:00 AM,09/01/2007 12:00:00 AM,Charter,Arrival,International,3
05/01/2014 12:00:00 AM,09/01/2007 12:00:00 AM,Charter,Departure,Domestic,20
05/01/2014 12:00:00 AM,09/01/2007 12:00:00 AM,Commuter,Arrival,Domestic,5690
05/01/2014 12:00:00 AM,09/01/2007 12:00:00 AM,Commuter,Arrival,International,90
05/01/2014 12:00:00 AM,09/01/2007 12:00:00 AM,Commuter,Departure,Domestic,5690
05/01/2014 12:00:00 AM,09/01/2007 12:00:00 AM,Commuter,Departure,International,90
05/01/2014 12:00:00 AM,09/01/2007 12:00:00 AM,Scheduled,Arrival,Domestic,15056
05/01/2014 12:00:00 AM,09/01/2007 12:00:00 AM,Scheduled,Arrival,International,4146
05/01/2014 12:00:00 AM,09/01/2007 12:00:00 AM,Scheduled,Departure,Domestic,15186
05/01/2014 12:00:00 AM,09/01/2007 12:00:00 AM,Scheduled,Departure,International,4137
05/01/2014 12:00:00 AM,10/01/2007 12:00:00 AM,Charter,Arrival,Domestic,40
05/01/2014 12:00:00 AM,10/01/2007 12:00:00 AM,Charter,Arrival,International,1
05/01/2014 12:00:00 AM,10/01/2007 12:00:00 AM,Charter,Departure,Domestic,39
05/01/2014 12:00:00 AM,10/01/2007 12:00:00 AM,Charter,Departure,International,1
05/01/2014 12:00:00 AM,10/01/2007 12:00:00 AM,Commuter,Arrival,Domestic,6030
05/01/2014 12:00:00 AM,10/01/2007 12:00:00 AM,Commuter,Arrival,International,94
05/01/2014 12:00:00 AM,10/01/2007 12:00:00 AM,Commuter,Departure,Domestic,6030
05/01/2014 12:00:00 AM,10/01/2007 12:00:00 AM,Commuter,Departure,International,94
05/01/2014 12:00:00 AM,10/01/2007 12:00:00 AM,Scheduled,Arrival,Domestic,15646
05/01/2014 12:00:00 AM,10/01/2007 12:00:00 AM,Scheduled,Arrival,International,4070
05/01/2014 12:00:00 AM,10/01/2007 12:00:00 AM,Scheduled,Departure,Domestic,15737
05/01/2014 12:00:00 AM,10/01/2007 12:00:00 AM,Scheduled,Departure,International,4060
05/01/2014 12:00:00 AM,11/01/2007 12:00:00 AM,Charter,Arrival,Domestic,35
05/01/2014 12:00:00 AM,11/01/2007 12:00:00 AM,Charter,Arrival,International,3
05/01/2014 12:00:00 AM,11/01/2007 12:00:00 AM,Charter,Departure,Domestic,33
05/01/2014 12:00:00 AM,11/01/2007 12:00:00 AM,Charter,Departure,International,3
05/01/2014 12:00:00 AM,11/01/2007 12:00:00 AM,Commuter,Arrival,Domestic,5757
05/01/2014 12:00:00 AM,11/01/2007 12:00:00 AM,Commuter,Arrival,International,100
05/01/2014 12:00:00 AM,11/01/2007 12:00:00 AM,Commuter,Departure,Domestic,5757
05/01/2014 12:00:00 AM,11/01/2007 12:00:00 AM,Commuter,Departure,International,100
05/01/2014 12:00:00 AM,11/01/2007 12:00:00 AM,Scheduled,Arrival,Domestic,15163
05/01/2014 12:00:00 AM,11/01/2007 12:00:00 AM,Scheduled,Arrival,International,4004
05/01/2014 12:00:00 AM,11/01/2007 12:00:00 AM,Scheduled,Departure,Domestic,15246
05/01/2014 12:00:00 AM,11/01/2007 12:00:00 AM,Scheduled,Departure,International,3981
05/01/2014 12:00:00 AM,12/01/2007 12:00:00 AM,Charter,Arrival,Domestic,37
05/01/2014 12:00:00 AM,12/01/2007 12:00:00 AM,Charter,Arrival,International,2
05/01/2014 12:00:00 AM,12/01/2007 12:00:00 AM,Charter,Departure,Domestic,31
05/01/2014 12:00:00 AM,12/01/2007 12:00:00 AM,Charter,Departure,International,1
05/01/2014 12:00:00 AM,12/01/2007 12:00:00 AM,Commuter,Arrival,Domestic,5897
05/01/2014 12:00:00 AM,12/01/2007 12:00:00 AM,Commuter,Arrival,International,102
05/01/2014 12:00:00 AM,12/01/2007 12:00:00 AM,Commuter,Departure,Domestic,5897
05/01/2014 12:00:00 AM,12/01/2007 12:00:00 AM,Commuter,Departure,International,102
05/01/2014 12:00:00 AM,12/01/2007 12:00:00 AM,Scheduled,Arrival,Domestic,15517
05/01/2014 12:00:00 AM,12/01/2007 12:00:00 AM,Scheduled,Arrival,International,4475
05/01/2014 12:00:00 AM,12/01/2007 12:00:00 AM,Scheduled,Departure,Domestic,15619
05/01/2014 12:00:00 AM,12/01/2007 12:00:00 AM,Scheduled,Departure,International,4449
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Charter,Arrival,Domestic,38
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Charter,Arrival,International,8
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Charter,Departure,Domestic,42
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Charter,Departure,International,7
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Commuter,Arrival,Domestic,5315
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Commuter,Arrival,International,104
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Commuter,Departure,Domestic,5315
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Commuter,Departure,International,104
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Scheduled,Arrival,Domestic,14879
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Scheduled,Arrival,International,4295
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Scheduled,Departure,Domestic,14939
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Scheduled,Departure,International,4302
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Charter,Arrival,Domestic,16
05/01/2014 12:00:00 AM,02/01/2008 12:00:00 AM,Charter,Arrival,International,5
